"title","author","year","genre","openlibrary_work_key","synopsis","periodo"
"Farewell, My Lovely","Raymond Chandler","1940","Mystery","/works/OL3295514W","This is one of Chandler’s most famous crime novels featuring the detective Philip Marlowe, who’s about to give up on a completely routine case when he finds himself in the wrong place at the right time to get caught up in a murder that leads to a ring of jewel thieves, another murder, a fortune-teller, a couple more murders, and more corruption than your average graveyard.","1900-1949"
"The Black Tower","P. D. James","1975","Mystery","/works/OL510867W","Scotland Yard Inspector Adam Dalgliesh races to solve a twisted murder in bestselling author P.D. James’ classic mystery The Black Tower, hailed as “splendid, macabre” by the London Sunday Telegraph and “a masterpiece,” by the London Sunday Times.

Just recovered from a grave illness, Commander Adam Dalgliesh receives a call for advice from the elderly chaplain at Toynton Grange, an isolated nursing home on the coast of England. But by the time Dalgliesh arrives, Father Baddeley has mysteriously died, as has one of his patients.

When the bodies begin to pile up, Dalgliesh once again finds his own life at risk as he determines to get to the truth behind his friend’s death and unmask the terrible evil t the heart of Toynton Grange.","1970-1989"
"The House in Lordship Lane","A. E. W. Mason","1946","Mystery","/works/OL532435W","Enter Bryan Devisher, over the side of the ketch in which Mordaunt was taking Mr. Julius Ricardo home to London on the summons of his old friend, Inspector Hanaud of the Paris Surete and the English ' idioms.' Exit, Devisher and Mordaunt. Enter Daniel Horbury. Exit Daniel Horbury-violently, with his throat slit in the garden room of the House in Lordship Lane, with Olivia, his wife, locked in her bedroom upstairs. Enter Septimus Crottle, patriarchal, tough old shipowner ; and the Crottle family, at a Sunday evening ' reading attended by Hanaud and Ricardo. Re-enter Mordaunt and Devisher-in Cairo. Exit Septimus Crottle, mysteriously ; re-enter Hanaud, hurriedly ; re-enter Septimus with all the toughness gone. But the house in Lordship Lane has never gone out of the story, and the master-craftsman brings us back to it at the end. And, when you read what really had happened in the garden room that night when Olivia drove her husband down to Lordship Lane, you remember the ejaculation of one of A. E. W. Mason's reviewers : ' What a work of art a thriller can be ! '","1900-1949"
"2nd Chance","James Patterson","2002","Mystery","/works/OL167157W","A brutal madman sprays bullets into a crowd of children leaving a San Francisco church. Miraculously-or was it intentionally?-only one person dies. Then an elderly black woman is hung. Police homicide inspector Lindsay Boxer senses a connection and together with medical examiner Claire, assistant D. A. Jill, and Chronicle reporter Cindy, finds a link that sends a chill through the entire nation. This killer's motives are unspeakable.A Main Selection of The Literary Guild®, of Book-of-the-Month Club®, of Doubleday Book Club®, and of The Mystery Guild®","2000-2009"
"The Summons","John Grisham","2002","Mystery","/works/OL77016W","John Grisham's bestselling backlist repackaged with fantastic new coversRay Atlee is a professor of law at the university of Virginia who is forty-three and newly single. He has a father, a very sick old man who lives alone in the ancestral home in Clanton, Mississippi; a beloved and powerful official who has towered over local law and politics for many years and is now a recluse. With the end in sight, Judge Atlee issues a summons to Ray to return home to Clanton, to discuss the details of his estate. Ray reluctantly heads south. But the meeting does not take place. The Judge dies too soon, and in doing so leaves behind a shocking secret known only to Ray. And perhaps someone else.","2000-2009"
"Roseanna","Maj Sjöwall","1967","Mystery","/works/OL3899224W","""The masterful first novel in the Martin Beck series of mysteries ... finds Beck hunting for the murderer of a lonely traveler. On a July afternoon, a young woman's body is dredged from Sweden's beautiful Lake Vattern. With no clues, Beck begins an investigation not only to uncover a murderer but also to discover who the victim was. Three months later, all Beck knows is that her name was Roseanna and that she could have been strangled by any one of eighty-five people on a cruise. As the melancholic Beck narrows the list of suspects, he is drawn increasingly to the enigma of the victim, a free-spirited traveler with a penchant for casual sex, and to the psychopathology of a muderer with a distinctive -- indeed, terrifying -- sense of propriety""--P. [4] of cover.","1950-1969"
"Killing floor","Lee Child","1997","Mystery","/works/OL52943W","Ex-military policeman Jack Reacher is a drifter. He’s just passing through Margrave, Georgia, and in less than an hour, he’s arrested for murder. Not much of a welcome. All Reacher knows is that he didn’t kill anybody. At least not here. Not lately. But he doesn’t stand a chance of convincing anyone. Not in Margrave, Georgia. Not a chance in hell.","1990-1999"
"A Certain Justice","P. D. James","1997","Mystery","/works/OL510869W","""Venetia Aldridge QC is a distinguished barrister. When she agrees to defend Garry Ashe, accused of the brutal murder of his aunt, it is one more opportunity to triumph in her career as a criminal lawyer. But Regina V. Ashe initiates events both frightening and unpredictable...

Just four weeks later, Miss Aldridge is found dead in her Middle Temple chambers. Commander Adam Dalgliesh, called in to investigate, finds motives for murder among the clients Venetia has defended: her professional colleagues, her family - even her lover. As Dalgliesh and his team narrow the field of suspects, a second brutal murder draws them into greater complexiteis of intrigue and evil.""","1990-1999"
"Mystic river","Dennis Lehane","2001","Mystery","/works/OL17211W","When they were children, Sean Devine, Jimmy Marcus, and Dave Boyle were friends. But then a strange car pulled up to their street. One boy got into the car, two did not, and something terrible happened -- something that ended their friendship and changed all three boys forever. Twenty-five years later, Sean is a homicide detective. Jimmy is an ex-con who owns a corner store. And Dave is trying to hold his marriage together and keep his demons at bay -- demons that urge him to do terrible things. When Jimmy's daughter is found murdered, Sean is assigned to the case. His investigation brings him into conflict with Jimmy, who finds his old criminal impulses tempt him to solve the crime with brutal justice. And then there is Dave, who came home the night Jimmy's daughter died covered in someone else's blood. A tense and unnerving psychological thriller, Mystic River is also an epic novel of love and loyalty, faith and family, in which people irrevocably marked by the past find themselves on a collision course with the darkest truths of their own hidden selves.","2000-2009"
"Shroud for a Nightingale","P. D. James","1971","Mystery","/works/OL510913W","The young women of Nightingale House are there to learn to nurse and comfort the suffering. But when one of the students plays patient in a demonstration of nursing skills, she is horribly, brutally killed. Another student dies equally mysteriously, and it is up to Adam Dalgliesh of Scotland Yard to unmask a killer who has decided to prescribe murder as the cure for all ills.","1970-1989"
"Miss or Mrs.?","Wilkie Collins","1892","Mystery","/works/OL176077W","The night had come to an end. The new-born day waited for its quickening light in the silence that is never known on land - the silence before sunrise, in a calm at sea.","1850-1899"
"Raffles, Further Adventures of the Amateur Cracksman","E. W. Hornung","1901","Mystery","/works/OL1798843W","I am still uncertain which surprised me more, the telegram calling my attention to the advertisement, or the advertisement itself.  The telegram is before me as I write.  It would appear to have been handed in at Vere Street at eight o'clock in the morning of May 11, 1897, and received before half-past at Holloway B.O.  And in that drab region it duly found me, unwashen but at work before the day grew hot and my attic insupportable.","1900-1949"
"Memento Mori","Muriel Spark","1958","Mystery","/works/OL26398W","Dame Lettie Colston, seventy-nine, O.B.E. and pioneer penal reformer, has much in common with the elderly residents of the Maud Long Medical Ward. All are united by scorn, resentment, boredom--and the maudlin humour that masks the awareness of impending death.


Then the insidious telephone calls begin. 'Remember, you must die,' intones the grave, anonymous voice.


As the suspicious recipients set out to unravel the macabre mystery and catch the culprit before the culprit catches them, the intrigues, duplicities and tragedies of their lives--past and present--come to light in Muriel Spark's immortally funny parable of life and death","1950-1969"
"The Skull Beneath the Skin","P. D. James","1982","Mystery","/works/OL510887W","Private detective Cordelia Gray is invited to the sunlit island of Courcy to protect the vainly beautiful actress Clarissa Lisle from veiled threats on her life. Within the rose red walls of a fairy-tale castle, she finds the stage is set for death. 

From the Inside Flap
Fading star Clarissa Lisle plans a spectacular comeback, to be staged in a gothic castle. But poison-pen letters bearing death threats couched in Shakespearian quotations prompt Clarissa's husband to call in the young private detective Cordelia Gray to investigate.","1970-1989"
"Stormbreaker","Anthony Horowitz","2000","Mystery","/works/OL80763W","They told him his uncle died in a car accident. Fourteen-year-old Alex knows that's a lie, and the bullet holes in his uncle's windshield confirm his suspicions. But nothing prepares him for the news that the uncle he always thought he knew was really a spy for MI6—Britain's top secret intelligence agency. Recruited to find his uncle's killers and complete his final mission, Alex suddenly finds himself caught in a deadly game of cat and mouse.","2000-2009"
"The Adventure of the Christmas Pudding","Agatha Christie","1960","Mystery","/works/OL472416W","First came a sinister warning to Poirot not to eat any plum pudding...then the discovery of a corpse in a chest...next, an overheard quarrel that led to murder...the strange case of the dead man who altered his eating habits...and the puzzle of the victim who dreamt his own suicide. What links these five baffling cases? The little grey cells of Monsieur Hercule Poirot!","1950-1969"
"A Taste for Death","P. D. James","1986","Mystery","/works/OL510879W","When the quiet Little Vestry of St. Matthew's Church becomes the blood-soaked scene of a double murder, Scotland Yard Commander Adam Dalgliesh faces an intriguing conundrum: How did an upper-crust Minister come to lie, slit throat to slit throat, next to a neighborhood derelict of the lowest order? Challenged with the investigation of a crime that appears to have endless motives, Dalgliesh explores the sinister web spun around a half-burnt diary and a violet-eyed widow who is pregnant and full of malice--all the while hoping to fill the gap of logic that joined these two disparate men in bright red death. . . .","1970-1989"
"A Blunt Instrument","Georgette Heyer","1938","Mystery","/works/OL4092518W","**Inspectors Hannasyde & Hemingway #4**

Who would kill the perfect gentleman?

When Ernest Fletcher is found bludgeoned to death in his study, everyone is shocked and mystified: Ernest was well liked and respected, so who would have a motive for killing him? Inspectors of Scotland Yard felt it was an unlikely crime for the London suburbs: a perfectly respectable chap at home with his head bashed in. It seems the real Fletcher was far from the gentleman he pretended to be. There is, in fact, no shortage of people who wanted him dead.

Superintendent Hannasyde and Sergeant Hemingway, with consummate skill, uncover one dirty little secret after another, and with them, a host of people who all have reasons for wanting Fletcher dead. Who tiptoed into the study to do the deed? The rather nefarious nephew Neville? A neighbor's wandering wife? A fat man in a bowler hat?

The mystery's key was a blunt instrument--a weapon that the police could not find... and that the murderer can to use once more. Then, a second murder is committed, with striking similarities to the first, giving a grotesque twist to a very unusual case, and the inspectors realize they are up against a killer on a mission....","1900-1949"
"A Mind to Murder","P. D. James","1963","Mystery","/works/OL510881W","A piercing scream, shattering the evening calm, brings Superintendent Adam Dalgliesh hurrying from his literary party to the nearby Steen Psychiatric Clinic, where he discovers the body of a woman sprawled on the basement floor, a chisel thrust through her heart. As Dalgliesh probes beneath the apparently unruffled calm of the clinic, he discovers that many an intrigue lies hidden behind the Georgian terrace's unassuming facade. Professionally, he has never known the taste of failure. Now, for the first time, he feels unsure of his own mastery as he battles to unmask a cool killer who is proving to be his intellectual equal, and who is poised to strike again.","1950-1969"
"Point Blanc","Anthony Horowitz","2001","Mystery","/works/OL84778W","Investigations into the ""accidental"" deaths of two of the world's most powerful men have revealed just one link: both had a son attending Point Blanc Academy – an exclusive school for rebellious rich kids, run by the sinister Dr Grief and set high on an isolated mountain peak in the French Alps. Armed only with a false ID and a new collection of brilliantly disguised gadgets, Alex must infiltrate the academy as a pupil and establish the truth about what is really happening there.","2000-2009"
"The magic Faraway Tree","Enid Blyton","1943","Mystery","/works/OL1948587W","Wonderful tale for kids about a magical tree and the people who live in it.","1900-1949"
"Mr. Mercedes","Stephen King","2013","Mystery","/works/OL16820059W","In the frigid pre-dawn hours, in a distressed Midwestern city, hundreds of desperate unemployed folks are lined up for a spot at a job fair. Without warning, a lone driver plows through the crowd in a stolen Mercedes, running over the innocent, backing up, and charging again. Eight people are killed; fifteen are wounded. The killer escapes.

In another part of town, months later, a retired cop named Bill Hodges is still haunted by the unsolved crime. When he gets a crazed letter from someone who self-identifies as the ""perk"" and threatens an even more diabolical attack, Hodges wakes up from his depressed and vacant retirement, hell-bent on preventing another tragedy.

Brady Hartfield lives with his alcoholic mother in the house where he was born. He loved the feel of death under the wheels of the Mercedes, and he wants that rush again.

Only Bill Hodges, with a couple of highly unlikely allies, can apprehend the killer before he strikes again. And they have no time to lose, because Brady’s next mission, if it succeeds, will kill or maim thousands.

Mr. Mercedes is a war between good and evil, from the master of suspense whose insight into the mind of this obsessed, insane killer is chilling and unforgettable.","2010-2019"
"The Crime at Black Dudley (Albert Campion #1)","Margery Allingham","1929","Mystery","/works/OL2004298W","The Black Dudley is an ancient, remote mansion inhabited by recluse, Colonel Combe, but owned by Waytt Petrie, a young academic who decides to revive his property with a weekend party to which he invites his friends and colleagues. Among the guests is George Abbershaw, a renowned doctor and pathologist who is occasionally summoned by Scotland Yard to help with consulting mysterious deaths. Abbershaw hopes that the leisurely weekend at Black Dudley will help him to get acquainted with red-haired Meggie Oliphant whom he quietly admires. Little does he suspect that instead he will be involved in a series of extraordinary and dangerous incidents which unravel one by one in the gloomy mansion and split the party. No sooner have the guests assembled than talk turns to the sinister Black Dudley Dagger and the ritual that accompanies this ancient relic. It all derives in a seemingly innocent ritual-game, played in Black Dudley for generations, in which a jewelled dagger is passed between the guests in the darkness. The young visitors are intrigued and eager to play, but when the lights are restored... the host is discovered brutally slain. A murder always spoils a party, but the group soon find out that not only is there a killer in their midst, but the secluded house is under the control of notorious criminals. Trapped and at their mercy, George must find a way to thwart their diabolical plans while getting himself and Meggie out alive. Luckily for Abbershaw, among the guests is a stranger who promises to unravel the villainous plots behind their incarceration - but can George and his friends trust the peculiar young man who calls himself Albert Campion? He is a garrulous and affable party-crasher with a great knack for solving mysteries and interrogating suspects.","1900-1949"
"The tower treasure","Franklin W. Dixon","1927","Mystery","/works/OL47915W","A dying criminal confesses that his loot has been stored ""in the tower."" Both towers of the looted mansion are searched in vain. It remains for the Hardy boys to make an astonishing discovery that clears up the mystery and clears the name of a friend’s father.","1900-1949"
"The witness for the defence","A. E. W. Mason","1913","Mystery","/works/OL532449W","Unassured of a family inheritance, Henry Thresk dedicates himself to pursuing a career in law. His determination is exacting; as a man of limited means, it has to be. Even when he meets Stella, a supremely appealing young woman, he refuses to consider love and marriage. He must stick to the path he has laid out for himself.

Eight years later, on a solicitor call to Bombay, Henry finds himself face to face with a photograph of his long-lost love. Stella is married to Captain Ballantyne, an older man clever at politics and languages who is revealed to be a violent brute. Henry is determined to rescue Stella, but before he can enact a plan the captain is discovered shot to death with his wife’s rifle. Henry, a respected man of the law, is called as a witness for the defense—only the first of many twists in this deftly plotted mystery. If his instincts are wrong, he will sacrifice his life and career for a woman he hardly knows.","1900-1949"
"Death in Holy Orders","P. D. James","2001","Mystery","/works/OL510942W","From Amazon.com:
From the award-winning master of literary crime fiction, a classic work rich in tense drama and psychological insight.

On the East Anglian seacoast, a small theological college hangs precariously on an eroding shoreline and an equally precarious future. When the body of a student is found buried in the sand, the boy’s influential father demands that Scotland Yard investigate. Enter Adam Dalgliesh, a detective who loves poetry, a man who has known loss and discovery. The son of a parson, and having spent many happy boyhood summers at the school, Dalgliesh is the perfect candidate to look for the truth in this remote, rarified community of the faithful–and the frightened. And when one death leads to another, Dalgliesh finds himself steeped in a world of good and evil, of stifled passions and hidden pasts, where someone has cause not just to commit one crime but to begin an unholy order of murder. . . . 

“Gracefully sculpted prose and [a] superbly executed mystery . . . Death in Holy Orders is among [James’s] most remarkable and accomplished Dalgliesh novels.”
–The Philadelphia Inquirer

“An elegant work about hope, death, and the alternately redemptive and destructive nature of love.”
–The Miami Herald 

“Absorbing . . . [James’s] plotting and characterization [are] impeccable.”
–Orlando Sentinel

“P. D. James is in top form.”
–The Boston Globe

Open the exclusive dossier at the back of this book, featuring P. D. James’ essay on penning the perfect detective novel.","2000-2009"
"Disclosure","Michael Crichton","1993","Mystery","/works/OL46877W","Disclosure is a novel by Michael Crichton, his ninth under his own name and nineteenth overall, and published in 1994. The novel is set at a fictional computer hardware manufacturing company. The plot concerns protagonist Tom Sanders and his struggle to prove that he was sexually harassed by his female employer.

----------
Also contained in:
 - [Reader's Digest Condensed Books: Volume 5, 1994 ](https://openlibrary.org/works/OL15150330W/Reader's_Digest_Condensed_Books)
 - [Two Complete Novels: Disclosure/Rising Sun][2]


  [1]: http://www.michaelcrichton.com/disclosure/
  [2]: https://openlibrary.org/works/OL14950533W/Disclosure_Rising_Sun","1990-1999"
"Lie Down With Lions","Ken Follett","1985","Mystery","/works/OL1914086W","Ellis, the American. Jean-Pierre, the Frenchman. They were two men on opposite sides of the cold war, with a woman torn between them. Together, they formed a triangle of passion and deception, racing from terrorist bombs in Paris to the violence and intrigue of Afghanistan - to the moment of truth and deadly decision for all of them...

The intrigue surrounding Russian efforts to assassinate Masud, the leader of the Afghan guerrilla forces battling the Russians, sweeps a young Englishwoman, a French physician, and a roving American into its maelstrom","1970-1989"
"Player Piano","Kurt Vonnegut","1952","Mystery","/works/OL98484W","Vonnegut's first novel spins the chilling tale of engineer Paul Proteus, who must find a way to live in a world dominated by a super computer and run completely by machines.  Paul's rebellion is vintage Vonnegut - wildly funny, deadly serious, and terrifyingly close to reality.","1950-1969"
"Sweet danger","Margery Allingham","1933","Mystery","/works/OL12690629W","Way back during the crusades Richard I presented the Huntingforest family with the tiny Balkan principality of Averna but since then the kingdom has been forgotten, until circumstances in Europe suddenly render it extremely strategically important to the British Government. They hire unconventional detective Albert Campion to recover the long-missing proofs of ownership - the deeds, a crown, and a receipt - which are apparently hidden in the village of Pontisbright. On arriving in Pontisbright, Campion and his friends meet the eccentric, young, flame-haired Amanda Fitton and her family who claim to be the rightful heirs to Averna and join in the hunt. Mr. Campion and his two young friends, Eager-Wright and Farquharson, posted as the Hereditary Paladin of Averna and his entourage! Unfortunately, criminal financier Brett Savanake is also interested in finding the evidence of the oil-rich state's ownership for his own ends. Things get rather rough in the village as Savanake's heavies up the pressure on Campion to solve the mystery before they do. In the course of the hunt, Campion dresses in drag, takes refuge in a tree, is nearly drowned in a mill race, and his friends find themselves bound and gagged in sacks, shot at, and witnesses to a satanic ceremony led by the local doctor. The rural calm of Pontisbright is well and truly shattered.","1900-1949"
"Gone, Baby, Gone","Dennis Lehane","1998","Mystery","/works/OL17210W","PI Patrick Kenzie is hired to find a four-year-old girl, abducted while the mother was out drinking. The search takes Kenzie through Boston's underworld of drug dealers, kidnapers and pedophiles.","1990-1999"
"The gold coast","Nelson DeMille","1990","Mystery","/works/OL22903W","Welcome to the fabled Gold Coast, that stretch on the North Shore of Long Island that once held the greatest concentration of wealth and power in America. Here two men are destined for an explosive collision: John Sutter, Wall Street lawyer, holding fast to a fading aristocratic legacy; and Frank Bellarosa, the Mafia don who seizes his piece of the staid and unprepared Gold Coast like a latter-day barbarian chief and draws Sutter and his regally beautiful wife, Susan, into his violent world. Told from Sutter's sardonic and often hilarious point of view, and laced with sexual passion and suspense, The Gold Coast is Nelson DeMille's captivating story of friendship and seduction, love and betrayal.","1990-1999"
"The Hidden Staircase","Carolyn Keene","1930","Mystery","/works/OL39160W","Teenage detective Nancy Drew uses her courage and powers of deduction to solve the mysterious happenings in an old stone mansion.","1900-1949"
"The cask","Freeman Wills Crofts","1920","Mystery","/works/OL5204285W","A strange container is found on the London docks, and its contents point to murder

The cask from Paris is bigger than the rest, its sides reinforced to hold the extraordinary weight within. As the longshoremen are bringing it onto the London docks, the cask slips, cracks, and spills some of its treasure: a wealth of gold sovereigns. As the workmen cram the spilled gold into their pockets, an official digs through the opened box, which is supposed to contain a statue. Beneath the gold he finds a woman’s hand—as cold as marble, but made of flesh.

He reports the body to his superiors, but when he returns, the cask has vanished. The case is given to Inspector Burnley, a methodical detective of Scotland Yard, who will confront a baffling array of clues and red herrings, alibis and outright lies as he attempts to identify the woman in the cask—and catch the man who killed her.","1900-1949"
"Mannen som gick upp i rök","Maj Sjöwall","1966","Mystery","/works/OL3899216W","Number 2 in the Martin Beck Mystery Series, 1966.","1950-1969"
"Dope","Sax Rohmer","1919","Mystery","/works/OL2288678W","Monte Irvin, alderman of the city and prospective Lord Mayor of London, paced restlessly from end to end of the well-appointed library of his house in Prince's Gate. Between his teeth he gripped the stump of a burnt-out cigar. A tiny spaniel lay beside the fire, his beady black eyes following the nervous movements of the master of the house.","1900-1949"
"Mördare utan ansikte","Henning Mankell","1993","Mystery","/works/OL158674W","En natt i januari mördas Maria och Johannes Lövgren, ett äldre bondepar i Skåne. Innan kvinnan avlider yttrar hon ordet ”utländsk”. Någon tid senare brinner stadens flyktingförläggning och en somalisk flykting blir mördad. Den som hotar menar uppenbarligen allvar. Kommissarie Wallander tar upp kampen mot den hänsynslöse mördaren.","1990-1999"
"The Secret of the Old Clock","Carolyn Keene","1930","Mystery","/works/OL39275W","Nancy Drew's keen mind is tested when she searches for a missing will.","1900-1949"
"Why shoot a butler?","Georgette Heyer","1933","Mystery","/works/OL4092687W","Every family has secrets, but the Fountains' are turning deadly…On a dark night, along a lonely country road, barrister Frank Amberley stops to help a young lady in distress and discovers a sports car with a corpse behind the wheel. The girl protests her innocence, and Amberley believes her—at least until he gets drawn into the mystery and the clues incriminating Shirley Brown begin to add up…In an English country-house murder mystery with a twist, it's the butler who's the victim, every clue complicates the puzzle, and the bumbling police are well-meaning but completely baffled. Fortunately, in ferreting out a desperate killer, amateur sleuth Amberley is as brilliant as he is arrogant, but this time he's not sure he wants to know the truth…","1900-1949"
"The Secret at Shadow Ranch","Carolyn Keene","1931","Mystery","/works/OL39394W","While staying at a ranch in Arizona, Nancy Drew becomes involved in a mystery surrounding a mistreated child.","1900-1949"
"The Stepford Wives","Ira Levin","1972","Mystery","/works/OL28319W","The Stepford Wives is a 1972 satirical novel by Ira Levin. The story concerns Joanna Eberhart, a photographer and young mother who suspects the submissive housewives in her new idyllic Connecticut neighborhood may be robots created by their husbands.

Also contained in:

 - [Reader's Digest Condensed Books. Volume 1 - 1973](https://openlibrary.org/works/OL16036164W)
 - [Three by Ira Levin](https://openlibrary.org/works/OL16660211W)","1970-1989"
"Duplicate Death","Georgette Heyer","1951","Mystery","/works/OL4092679W","**Inspectors Hannasyde & Hemingway #8**

London is the scene for a card party given by a social-climbing hostess. Suddenly, the seemingly civilized game of Duplicate Bridge is interrupted by a double murder, both victims murdered by the same sinister method, strangled with picture wire. The crimes seem identical, but were they carried out by the same hand? And, what was the connection between the first, a mysterious man of the world, and the second, an ambitious widow? Inspector Hemingway has his work cut out for him, and the odds of solving this crime are stacked up against him.

Things become even more complicated when Miss Beulah Birtley, the fiancée of the inspector's young friend Timothy Kane, becomes Hemingway's prime suspect. Kane is determined to prove the lady's innocence--but when he begins digging into her past, he finds it's more than a little bit shady... That morning, Miss Beulah bought the weapon. Before supper, she had spit out her hatred for the victim in poisonous--and public--words. And at the party, she was the last to see him alive. They found him slumped in a chair-his handsome head lolling forward on his well-cut dinner jacket--his florid face hideously distorted. A horrible death, observed the Inspector. But very simple for a young lady like Beulah to arrange... Mrs. Haddington, the second victim, is found strangled in the exact same spot where one of her daughter's many suitors had also been strangled. Fortunately, the first-rate detective doesn’t miss a trick.","1950-1969"
"Death in a White Tie","Ngaio Marsh","1938","Mystery","/works/OL460795W","A body in the back of a taxi begins an elegantly constructed mystery, perhaps the finest of Marsh's 1930s novels.The season had begun. Debutantes and chaperones were planning their luncheons, teas, dinners, balls. And the blackmailer was planning his strategies, stalking his next victim.But Chief Detective Inspector Roderick Alleyn knew that something was up. He had already planted his friend Lord Robert Gospell at the scene.But someone else got there first...","1900-1949"
"The Murder Room","P. D. James","1775","Mystery","/works/OL510896W","Commander Dalgliesh investigates a horrible death at the Dupayne, a private museum on the edge of Hampstead Heath, dedicated to the years 1919-1939. One of the museum galleries displays exhibits from the most notorious murder cases of those inter-war years, and now a modern killer is at work, the crimes uncannily echoing the cases on display. All the people at the Dupayne - the trustees, the staff and the volunteers - have the means and the opportunity for murder. One of them has the ruthlessness to kill and kill again.","1700-1799"
"An African Millionaire","Grant Allen","1897","Mystery","/works/OL1797196W","""A genre classic, Grant Allen's AN AFRICAN MILLIONAIRE is the perfect addition to our mini library of classic crime fiction. Wealthy, confident, and handsome, Charles Van Drift is not accustomed to being swindled and his brush with Colonel Clay both rattles and infuriates him. As his South African diamond fortune takes hit after hit from the quick-witted master of disguise, Allen leaves even the reader guessing: whom can you trust? Van Drift grows more suspicious of those around him and a few too many misguided accusations shake the millionaire's confidence. Colonel Clay is in his head. Gary Hoppenstand contributes an introduction discussing the reception of the work when it was first serialized in THE STRAND and the significance of Colonel Clay as the first recurring gentleman rogue""--","1850-1899"
"Original Sin","P. D. James","1994","Mystery","/works/OL510905W","From Amazon.com:
Adam Dalgliesh takes on a baffling murder in the rarefied world of London book publishing in this masterful mystery from one of our finest novelists.

Commander Adam Dalgliesh and his team are confronted with a puzzle of impenetrable complexity. A murder has taken place in the offices of the Peverell Press, a venerable London publishing house located in a dramatic mock-Venetian palace on the Thames. The victim is Gerard Etienne, the brilliant but ruthless new managing director, who had vowed to restore the firm's fortunes. Etienne was clearly a man with enemies—a discarded mistress, a rejected and humiliated author, and rebellious colleagues, one of who apparently killed herself a short time earlier. Yet Etienne's death, which occurred under bizarre circumstances, is for Dalgliesh only the beginning of the mystery, as he desperately pursues the search for a killer prepared to strike and strike again.","1990-1999"
"DEVIL IN A BLUE DRESS (Easy Rawlins Mysteries)","Walter Mosley","1990","Mystery","/works/OL115528W","Walter Mosley's Easy Rawlins has few illusions about the world--at least not about the world of a young black veteran in the late 1940s in Southern California. His stint in the Army didn't do anything to dissuade him from his belief that justice doesn't come cheap, especially for men like him. ""I thought there might be some justice for a black man if he had money to grease it,"" Easy says. Fired from his job on the line at an aircraft plant, he's in danger of losing his home, symbol of his tenuous hold on middle class status. That's a good enough reason to accept a white man's offer to pay him for finding a beautiful, mysterious Frenchwoman named Daphne Monet, last seen in the company of a well-known gangster. Easy's search takes the reader to an L.A. few writers have shown us before--the mean streets of South Central, the after-hours joints in dirty basement clubs, the cheap hotels and furnished rooms, the places people go when they don't want to be found. Evocative of a past time, and told in a style that's reminiscent of Hammet and Chandler, yet uniquely his own, Mosley's depiction of an inherently decent man in a violent world of intrigue and corruption rang up big sales when it was published in 1990 (although the movie version, with Denzel Washington as Easy, never found the audience it deserved). The minor characters are deftly and brilliantly developed, especially Mouse, who saves Easy's life even as he draws him deeper into the mystery of Daphne Monet. Like many of Mosley's characters, Mouse makes a return appearance in the succeeding Easy Rawlins mysteries, such as A Red Death, Black Betty, and White Butterfly, every one of which is as good as Devil in a Blue Dress, his first. --Jane Adams --This text refers to an out of print or unavailable edition of this title.","1990-1999"
"Lifeguard","James Patterson","2005","Mystery","/works/OL167162W","The danger isn't in the water.Working as a lifeguard at a Florida resort, Ned Kelly meets a woman he is wild about, the woman of his dreams. It feels perfect in every way - except that she is used to caviar and Manolo Blahniks, and he is used to burgers and flip-flops. She is a guest at the luxurious hotel - he lives above a garage.So when Ned's cousin offers to cut him in on a rich deal he's been commissioned to execute, Ned can't turn him down. The plan is simple, just a fast break-and-enter. The risk is high, and the reward is even greater--$5 million. But on the night of the heist, something goes devastatingly wrong. Who will save the lifeguard?Ned walks away from his job, his town, and the woman he's fallen in love with. Runs away, actually, knowing that only velocity and secrecy can save his life. But who is pursuing him? The FBI? Whoever sabotaged the heist? Or is it all somehow tied into his new love - and his oldest enemies?","2000-2009"
"A dark-adapted eye","Ruth Rendell","1986","Mystery","/works/OL12069W","The first book Rendell wrote as Barbara Vine. A personal exploration into the past, searching for the truth that led Vera Hillyard to commit the violent murder for which she is hanged. The  story unfolds slowly, painfully, full of secrets and lies. Dark, claustrophobic, and chilling.","1970-1989"
"Bonecrack","Dick Francis","1971","Mystery","/works/OL463350W","A grisly accident has left Neil Griffon in charge of his father's stables.  A grisly assault and abduction have left him at the mercy of masked thugs.  And a grisly crime czar wants one of his horses.  Any horse at all.  As long as it's Archangel.  As long as his son can ride in the Derby.  And win.  Or else.","1970-1989"
"Death at the Bar (Roderick Alleyn #9)","Ngaio Marsh","1940","Mystery","/works/OL460814W","A cosy game of darts in a cosy English pub is going well until one of the players dies on the spot. Chief Inspector Alleyn knows it wasn't the dart that killed him, but the prussic acid someone added to the cut.","1900-1949"
"The Bungalow Mystery","Carolyn Keene","1930","Mystery","/works/OL38989W","Nancy believes her friend's guardians are trying to steal her inheritance. As she investigates, she has a perilous experience near the deserted bungalow.","1900-1949"
